run_name,cfg,Total money_made,Total distance driven,Average profit,Customers served,Customers cancelled,Waiting time,Average free time,Highest earning taxi id,Highest earning taxi per hour,Lowest earning taxi id,Lowest earning taxi per hour
,"cr=longest, ms=None, bl=None",12441.743773124217,9702.15427323616,117.99227998288748,605,0,1074.5453412077406,0.08903099085139514,83,44.836538535677164,89,0.0
,"cr=closest, ms=None, bl=None",14221.030799163751,7857.2523505039035,125.24336959468276,787,0,498.7904332329172,1.170437602992451,6,38.84227618143517,77,0.0
,"cr=closest, ms=allow_rellocation, bl=None",32547.972221238055,128747.64374301833,73.89612470254781,726,0,0,2.9120916368343233,14,199.09476351851856,90,0.0
,"cr=closest, ms=batching, bl=0.01",12947.106444716936,5378.553222358468,129.03691087223092,721,0,736.8393162721746,3.1601742524871765,91,43.512431924939825,90,0.0
,"cr=closest, ms=batching, bl=0.05",13699.240092968144,5708.120046484072,160.9950779957863,748,0,874.0990992924693,2.3686801693568444,75,42.16584484156548,77,0.0
,"cr=closest, ms=batching, bl=0.1",14048.756328080255,5875.378164040128,147.97334132496806,758,0,609.3222024564485,2.5996371871889608,85,43.84452170687158,87,0.0
,"cr=closest, ms=batching, bl=0.2",14402.871858406439,6010.4359292032195,129.41945757417437,783,0,564.0807586561075,3.0043008095492905,101,34.31090519767299,100,0.0
,"cr=shortest, ms=None, bl=None",13858.26976111634,10496.818666807405,117.58906027754861,755,0,998.5190916792609,0.2663141365155564,91,33.51514364184352,100,0.0
,"cr=longest, ms=None, bl=None",13592.119683574701,10578.746324611906,118.31309709950843,743,0,2119.0172768274824,0.24832552496983573,95,33.607457394986355,97,0.0
,"cr=closest, ms=None, bl=None",13457.273520351298,7927.320907288258,162.62752519032395,727,0,1340.9276174285578,0.10767342409061541,68,42.88239659326594,73,0.0
,"cr=closest, ms=allow_rellocation, bl=None",29707.10319331371,124873.48124774947,60.67188389440758,704,0,0,2.8808117666774424,78,423.8908385555465,77,0.0
,"cr=closest, ms=batching, bl=0.01",13860.59347851882,5794.796739259408,144.33675148485153,748,0,396.4591277053783,3.271816495754363,2,36.250576436197385,70,7.531052091536726
,"cr=closest, ms=batching, bl=0.05",13990.459122075372,5828.229561037686,178.12240569260874,769,0,1257.2266886171371,2.298012369284023,6,40.76394042085183,70,10.023151646503614
,"cr=closest, ms=batching, bl=0.1",14040.904636295074,5850.452318147537,134.07098096526616,765,0,485.41588715332404,2.8150930140646593,89,35.79504449000689,47,14.766058706551448
,"cr=closest, ms=batching, bl=0.2",13958.225900984746,5794.112950492372,158.0173248257564,775,0,1341.9103039025465,2.3585117664714326,81,79.73347113550021,67,23.813641868038918
,"cr=shortest, ms=None, bl=None",13809.694200421447,9682.042928351317,116.40476092893314,739,0,861.5324104719994,0.5075359506874547,101,53.85698754085646,102,0.0
,"cr=longest, ms=None, bl=None",13142.112542290468,10518.351180936503,118.69292802261474,704,0,2479.9329054936716,0.09714732120565185,92,57.34428035421314,93,0.0
,"cr=closest, ms=None, bl=None",13495.968882192432,7788.5159470904855,149.22832115967915,736,0,931.7339891300522,0.5344219430465807,4,39.79046448792636,79,0.0
,"cr=closest, ms=allow_rellocation, bl=None",27168.737564903164,98991.23576247154,86.71165191069224,768,0,0,2.7064734142387845,36,147.29907307442588,85,0.0
,"cr=closest, ms=batching, bl=0.01",14820.678787165976,6175.839393582988,134.51000899454831,809,0,612.1200207559264,2.7322159318005004,2,38.88271899124723,101,0.0
,"cr=closest, ms=batching, bl=0.05",13022.651390417066,5435.825695208531,129.73354621060165,710,0,720.2507817049456,2.9357446189778615,2,39.00401687972394,88,0.0
,"cr=closest, ms=batching, bl=0.1",13655.25741587621,5731.128707938104,147.16507852104218,717,0,673.0097114027599,2.4420095604050487,82,105.02200287348442,84,0.0
,"cr=closest, ms=batching, bl=0.2",14084.473771926107,5882.736885963055,127.80125143300495,760,0,803.8747473682809,2.9539859716372714,99,76.01583504285479,100,0.0
,"cr=shortest, ms=None, bl=None",12697.708602464489,10124.453317089345,119.91930268591699,693,0,1060.414924253586,0.10163148856037532,86,64.36029534283735,89,0.0
,"cr=longest, ms=None, bl=None",12596.09549336654,9906.575689992696,112.92319526987237,603,0,1949.366453312884,0.12246450418041767,89,30.383576894509268,92,0.0
,"cr=closest, ms=None, bl=None",13379.87629598284,6576.702843298269,120.64535727323188,730,0,479.89284057037946,1.6034903835718226,98,67.37697223680082,99,0.0
,"cr=closest, ms=allow_rellocation, bl=None",32614.02580333188,141966.81153674872,44.428036799811956,753,0,0,3.2146920901286995,18,180.48579923604595,88,0.0
,"cr=closest, ms=batching, bl=0.01",15178.567156749728,6377.283578374866,143.33103547499758,791,0,399.0489201670833,2.6190372169056912,96,38.11573615631858,97,0.0
